,feature,importance_lgbm,importance_xgb,importance_ensemble
239,last_evening_avg_target_19_23,0.06076025142173002,0.0011522858,0.030956268631046165
240,Td_11,0.06016162825501347,0.0002251077,0.030193367974936543
241,last_evening_avg_temp_19_8,0.059862316671655195,0.00049957586,0.030180946268089422
242,Td_18,0.058365758754863814,0.00042169297,0.029393725860673674
243,last_evening_avg_temp_19_9,0.058365758754863814,0.00059440004,0.02948007939946439
244,last_evening_avg_temp_22_5,0.05806644717150554,0.00040921546,0.02923783131369017
245,P_10,0.05806644717150554,0.00030503207,0.029185739619020372
246,Td_20,0.05686920083807243,0.0007415428,0.028805371810353465
247,last_evening_avg_temp_22_17,0.05656988925471416,0.0004844713,0.02852718027568645
248,last_evening_avg_target_22_2,0.05597126608799761,0.00042039243,0.028195829260356676
249,last_evening_avg_temp_22_19,0.05597126608799761,0.00037458542,0.02817292575359619
250,P_15,0.055073331337922776,0.00029544847,0.02768438990206344
251,last_day_avg_temp_22,0.0547740197545645,0.0009130284,0.027843524063508082
252,time_7,0.0547740197545645,0.010377852,0.03257593600036489
253,last_day_avg_target_9,0.054474708171206226,0.0008897284,0.02768221829953542
254,temp_pred_20,0.05417539658784795,0.0026708394,0.028423118008374812
255,day_of_week_23,0.05417539658784795,0.002139203,0.02815729980271274
256,last_day_avg_temp_18,0.05387608500448968,0.0010288664,0.027452475697593667
257,last_evening_avg_temp_22_21,0.053576773421131395,0.0007288747,0.027152824060637664
258,day_of_week_1,0.053576773421131395,0.010131277,0.031854025282543316
